nombre_a,hp_a,ataque_a,defensa_a,velocidad_a,nombre_b,hp_b,ataque_b,defensa_b,velocidad_b,gano_a,turnos,dano_a,dano_b
Palestine,2,1,11,1,Flareon,59,247,81,95,0,1,0,204
Sasquatch,129,202,99,57,Red Hood,64,22,239,57,1,64,64,64
Forge,64,17,115,29,White Canary,34,9,226,83,1,34,34,34
Sebastian Shaw,220,215,136,29,Stephanie Powell,22,17,14,137,1,1,224,1
Namor,162,242,213,147,Laos,2,5,1,1,1,1,268,0
Hyperion,220,255,199,255,Polaris,115,184,107,106,1,1,139,0
Blade,115,64,226,96,Monaco,1,1,255,58,1,1,1,0
Nigeria,30,15,4,1,Saint Vincent and the Grenadines,1,1,5,1,1,1,11,1
Man-Thing,232,75,94,19,Luxembourg,1,1,4,1,1,1,67,0
Cyborg,197,131,157,106,Boom-Boom,97,17,157,29,1,97,97,96
Diamondback,64,33,147,57,Red Hulk,197,255,186,119,0,1,0,113
Jim Powell,185,91,41,57,Doctor Strange,194,17,147,29,0,185,185,185
Question,80,27,199,68,Mera,138,154,199,201,0,80,79,80
Jolt,73,22,99,68,Mayotte,1,1,7,1,1,1,13,0
Klaw,232,91,147,83,Toxin,194,184,173,178,0,7,6,257
Tajikistan,2,3,2,1,Scarlet Witch,162,17,199,73,0,1,0,14
Jean Grey,45,202,173,52,Mewtwo,103,208,124,217,0,2,82,77
Longshot,22,17,173,68,Macedonia,1,1,2,1,1,1,13,0
Nightwing,64,20,252,83,Jessica Cruz,115,229,133,116,0,64,63,64
Northstar,129,38,173,211,Senegal,3,4,2,1,1,1,35,0
Scarlet Spider II,92,136,136,152,Liechtenstein,1,1,4,2,1,1,114,0
King Kong,173,255,186,181,Mimic,129,168,99,119,1,1,177,0
Tangela,59,99,161,86,Namorita,162,181,173,119,0,3,2,59
Oracle,64,20,189,57,Mantis,185,12,199,83,0,64,63,64
Question,80,27,199,68,Montserrat,1,1,2,2,1,1,26,0
Man-Bat,162,38,67,127,Sylar,64,17,136,29,1,64,64,63
Samoa,1,1,2,1,Thunderbird,73,75,173,68,0,1,0,65
Purple Man,69,17,14,19,Bushido,22,17,173,19,1,22,22,63
Nepal,7,3,4,1,Ultragirl,162,202,199,88,0,1,0,197
Jamaica,2,1,5,1,Maya Herrera,31,17,25,29,0,1,0,13
British Indian Ocean Territory,1,1,2,3,Hawk,220,91,99,88,0,1,0,91
Kathryn Janeway,57,12,120,52,Heat Wave,104,17,67,42,0,57,57,57
Kylo Ren,69,107,173,83,El Salvador,2,1,5,1,1,1,111,0
Century,148,202,252,134,Dragonair,55,157,88,104,1,1,108,0
Michelangelo,150,27,186,127,Sasquatch,129,202,99,57,0,10,10,158
Justice,162,17,67,83,King Kong,173,255,186,181,0,1,0,180
Mozambique,5,13,1,1,Trinidad and Tobago,1,1,5,1,1,1,7,1
Thailand,14,9,3,1,Macao,1,1,28,1,1,1,1,1
Living Brain,129,131,62,88,Stormtrooper,34,12,41,19,1,1,80,0
Goldeen,38,123,81,91,Pitcairn Islands,1,1,1,3,1,1,111,0
Hit-Girl,45,9,160,73,Saint Martin,1,1,11,3,1,1,1,0
Japan,25,7,6,1,Callisto,97,131,213,57,0,1,0,134
Doppelganger,220,157,210,152,Stephanie Powell,22,17,14,137,1,1,161,0
São Tomé and Príncipe,1,1,4,1,Lickitung,86,99,103,29,0,1,0,91
Kuwait,2,1,3,1,Thailand,14,9,3,1,0,1,0,6
Goku,208,255,252,191,Deadman,232,17,99,83,1,2,325,1
Elle Bishop,97,12,99,29,Red Arrow,45,33,199,63,1,45,45,45
Turkey,16,13,2,1,Justice,162,17,67,83,0,1,0,17
Togo,2,2,3,1,Living Tribunal,232,255,67,255,0,1,0,271
Taskmaster,45,22,252,127,Exodus,64,205,173,70,0,45,45,45
Lebanon,2,1,7,1,Vaporeon,128,119,81,95,0,1,0,99
Luna,31,6,25,211,T-800,138,80,160,42,0,1,1,55
Indiana Jones,69,17,67,42,Northstar,129,38,173,211,0,69,68,69
Rocket Raccoon,64,4,157,57,Wildfire,232,75,99,57,0,64,63,64
Leech,31,4,25,29,Venezuela,6,15,1,1,1,2,6,1
Nina Theroux,22,4,41,19,JJ Powell,22,17,14,19,0,22,21,22
Jamaica,2,1,5,1,Captain Planet,185,223,147,191,0,1,0,233
Plastic Man,232,157,136,57,Senegal,3,4,2,1,1,1,153,0
Gyarados,91,237,108,125,Penguin,64,17,107,29,1,1,145,0
Eevee,49,99,66,76,Qatar,1,1,2,1,1,1,96,0
Venompool,232,141,252,160,Vixen,115,91,54,127,1,2,171,1
Gambit,64,17,210,57,Spock,92,38,94,42,0,64,64,64
Falcon,64,25,157,127,Kool-Aid Man,22,38,25,19,1,22,22,21
Pinsir,59,237,139,133,Quicksilver,138,64,136,255,1,2,206,2
Captain America,127,41,252,96,Ronin,22,22,199,52,1,22,22,21
Penguin,64,17,107,29,Man-Wolf,97,107,173,88,0,64,63,64
Spider-Man,173,136,213,170,Magus,229,255,184,178,0,5,4,202
Faora,232,242,226,191,Captain Marvel,220,255,186,224,1,4,229,107
Spider-Woman III,97,117,62,68,Clock King,22,17,94,42,1,1,24,0
Red Skull,31,17,199,29,Poland,8,6,3,1,1,1,12,0
Paul Blart,115,20,1,52,Molten Man,194,184,136,57,0,1,0,203
Oman,2,4,1,1,Sif,185,229,173,170,0,1,0,226
Marvel Girl,97,215,199,119,Fallen One II,232,215,136,211,1,4,312,66
Savage Dragon,197,176,178,137,Bishop,173,27,160,57,1,11,181,10
Macedonia,1,1,2,1,Mandarin,64,64,239,57,0,1,0,69
Shadow Lass,45,17,199,170,Guinea-Bissau,1,2,2,1,1,1,17,0
Master Chief,185,184,252,88,Mewtwo,103,208,124,217,1,2,116,2
Match,197,242,173,211,T-1000,232,80,186,83,1,5,277,4
Scarlet Spider,171,131,136,152,Dazzler,138,17,133,83,1,138,138,137
Plantman,127,149,54,63,Predator,197,70,226,63,0,8,8,130
Yoda,57,128,226,83,Kabutops,54,218,146,123,1,54,54,54
Magus,229,255,184,178,Kabuto,22,149,124,76,1,1,116,0
Monica Dawson,31,17,226,88,Multiple Man,162,20,152,57,0,31,31,31
Superboy,208,242,147,211,Green Goblin,138,117,120,96,1,2,258,1
Juggernaut,232,255,173,106,Han Solo,45,17,147,42,1,1,94,0
Dormammu,232,242,199,211,Réunion,1,1,6,1,1,1,217,0
Gambit,64,17,210,57,Silk,162,117,160,181,0,64,63,64
Phoenix,232,255,199,211,Serbia,2,2,2,1,1,1,253,0
Kyrgyzstan,2,4,1,1,Palestine,2,1,11,1,0,2,1,2
Puerto Rico,2,1,7,1,King Kong,173,255,186,181,0,1,0,227
Bushido,22,17,173,19,Mauritania,2,16,1,1,1,1,15,0
Slovakia,2,2,3,1,Lightning Lad,64,17,99,57,0,1,0,14
Shocker,162,17,136,57,Mr. Mime,33,80,88,142,1,33,33,33
The Comedian,22,27,199,42,Captain Marvel,220,255,186,224,0,1,0,48
Darth Maul,69,117,252,127,Superman,232,255,213,255,0,23,22,69
Mr Immortal,232,17,67,19,Cannonball,229,64,136,170,1,200,200,200
Jubilee,45,12,226,55,Man-Wolf,97,107,173,88,0,45,44,45
Huntress,64,17,239,57,Ozymandias,45,38,239,83,1,45,45,45
Tokelau,1,1,3,12,Robin II,64,20,213,68,0,1,0,18
Thor Girl,194,210,173,178,Rip Hunter,22,12,54,19,1,1,137,0
Static,115,12,94,106,Quill,31,17,25,29,1,31,31,30
Shatterstar,148,117,210,114,Wasp,120,35,99,147,1,7,123,7
Rey,22,12,80,52,Machine Man,194,75,157,88,0,22,21,22
Guinea,3,5,2,1,Hitmonlee,43,227,71,136,0,1,0,237
Justice,162,17,67,83,Rhino,208,202,213,109,0,2,1,297
Q,232,22,94,42,Lapras,128,159,110,86,0,4,3,267
Hancock,232,229,120,170,Human Torch,162,20,99,160,1,2,260,1
Bizarro,232,242,213,255,Captain Atom,208,236,199,211,1,5,208,90
Spyke,138,22,67,42,Superboy,208,242,147,211,0,1,0,165
Destroyer,227,242,173,147,Pitcairn Islands,1,1,1,3,1,1,276,0
Hawkeye,22,22,199,52,Black Manta,138,64,213,127,0,22,21,22
Papua New Guinea,2,8,1,1,Seaking,75,172,88,101,0,1,0,160
Killer Croc,208,131,147,88,Professor X,31,12,72,29,1,1,58,0
Bishop,173,27,160,57,Jack of Hearts,69,136,67,255,1,69,69,69
Copycat,57,17,147,52,Demogoblin,80,117,147,106,0,57,56,57
Rachel Pirzad,22,1,14,19,Seychelles,1,1,4,1,1,1,1,0
Chad,3,20,1,1,Somalia,3,10,1,1,0,1,0,10
JJ Powell,22,17,14,19,John Stewart,148,215,160,106,0,1,0,220
Ultragirl,162,202,199,88,Black Adam,232,255,136,234,0,3,125,170
Doc Samson,185,202,173,83,Deadman,232,17,99,83,1,3,305,2
Daphne Powell,22,17,14,19,Kraven the Hunter,97,75,213,88,0,1,0,66
Kevin 11,31,9,94,29,Deadman,232,17,99,83,0,31,30,31
Data,92,75,120,52,Galactus,232,255,120,211,0,1,0,132
Vibe,69,17,67,42,Micah Sanders,31,12,25,29,1,31,31,30
Jean-Luc Picard,69,17,160,42,New Caledonia,1,1,1,1,1,1,16,0
Equatorial Guinea,1,1,2,1,Ego,229,202,62,211,0,1,0,177
Captain Marvel,220,255,186,224,Tanzania,9,15,2,1,1,1,266,0
Match,197,242,173,211,Mister Sinister,208,117,120,116,1,2,249,1
Lex Luthor,150,131,173,63,Mew,96,188,139,161,0,11,10,157
Venom III,208,184,136,88,Vegeta,220,255,252,234,0,2,1,245
Israel,2,1,6,1,Siryn,64,12,99,119,0,1,0,5
Huntress,64,17,239,57,Darth Vader,80,117,252,83,0,64,63,64
Evilhawk,162,75,157,83,Mister Fantastic,162,17,157,45,1,162,162,161
Sri Lanka,5,2,6,1,Gladiator,232,255,173,255,0,1,0,268
Sebastian Shaw,220,215,136,29,Blade,115,64,226,96,1,115,115,115
Captain Marvel,220,255,186,224,Miss Martian,232,215,107,147,1,2,304,31
Professor X,31,12,72,29,Captain Atom,208,236,199,211,0,1,0,159
Starfire,197,202,173,83,Daredevil,80,25,252,63,1,80,80,79
Mera,138,154,199,201,Senegal,3,4,2,1,1,1,171,0
Bullseye,162,20,173,63,Kyle Rayner,138,229,147,127,0,4,3,211
Captain Cold,45,17,41,42,Goku,208,255,252,191,0,1,0,205
Mayotte,1,1,7,1,Shocker,162,17,136,57,0,1,0,10
Hellcat,104,20,173,83,Palestine,2,1,11,1,1,1,9,0
Nauru,1,1,8,6,Shadowcat,57,12,173,52,0,1,0,4
North Korea,5,3,4,1,Captain Cold,45,17,41,42,0,1,0,14
Solomon Grundy,232,236,67,32,Articuno,86,159,139,133,1,1,111,79
Two-Face,31,17,62,29,Mozambique,5,13,1,1,1,1,15,0
Loki,197,157,147,116,Porygon,59,109,95,48,1,2,113,1
Metron,129,17,62,119,Darth Vader,80,117,252,83,0,3,3,164
Robin,64,20,213,68,Guy Gardner,148,229,157,134,0,4,3,67
Naruto Uzumaki,185,202,252,81,Guam,1,1,5,1,1,1,177,0
Exodus,64,205,173,70,Dratini,34,117,59,67,1,1,137,0
Rogue,64,17,199,29,British Indian Ocean Territory,1,1,2,3,1,1,16,0
Daredevil,80,25,252,63,Jean Grey,45,202,173,52,1,45,45,44
Luxembourg,1,1,4,1,Bloodhawk,185,17,157,127,0,1,0,13
Magus,229,255,184,178,Thunderbird,73,75,173,68,1,1,94,0
Comoros,1,1,6,1,Plastic Man,232,157,136,57,0,1,0,135
Black Adam,232,255,136,234,Songbird,97,86,136,68,1,1,105,0
Indiana Jones,69,17,67,42,Black Cat,22,33,173,83,1,22,22,22
Cable,129,117,199,57,Papua New Guinea,2,8,1,1,1,1,102,0
Somalia,3,10,1,1,Harry Potter,22,9,120,52,0,1,0,7
Gorilla Grodd,162,131,160,83,Cannonball,229,64,136,170,0,162,161,162
Leonardo,150,33,199,127,Harley Quinn,150,22,199,83,1,150,150,149
Black Canary,45,12,199,83,Thor Girl,194,210,173,178,0,5,4,51
Greedo,34,17,94,32,Thunderbird,73,75,173,68,0,34,33,34
Data,92,75,120,52,Boba Fett,83,17,173,96,1,83,83,83
Magus,229,255,184,178,Ronin,22,22,199,52,1,1,64,0
Guy Gardner,148,229,157,134,Firelord,208,157,62,191,1,2,291,2
Wolverine,232,75,252,127,Chamber,185,17,157,50,1,185,185,184
Magikarp,12,11,74,123,Ego,229,202,62,211,0,1,0,145
Data,92,75,120,52,Mr Immortal,232,17,67,19,1,29,233,28
Sif,185,229,173,170,Oman,2,4,1,1,1,1,246,0
Green Goblin,138,117,120,96,Steppenwolf,232,255,252,211,0,2,1,276
Bling!,208,27,62,29,South Korea,10,2,8,1,1,1,19,0
Wildfire,232,75,99,57,São Tomé and Príncipe,1,1,4,1,1,1,79,0
Psylocke,92,78,226,63,Master Chief,185,184,252,88,0,92,91,92
Blackout,185,75,160,114,Tauros,70,188,132,180,0,7,6,199
Booster Gold,162,215,94,106,Chameleon,64,17,62,29,1,1,171,0
Silver Surfer,208,255,72,255,Hela,232,255,107,116,1,2,296,180
Cottonmouth,22,17,54,19,Nightwing,64,20,252,83,0,22,21,22
Molten Man,194,184,136,57,Guyana,1,4,1,1,1,1,176,0
Somalia,3,10,1,1,Sandman,208,189,147,116,0,1,0,184
Lobo,232,255,213,137,Parademon,115,64,54,42,1,1,178,0
Magog,148,117,178,57,Swaziland,1,1,2,1,1,1,129,0
Laos,2,5,1,1,Lobo,232,255,213,137,0,1,0,284
Moses Magnum,97,64,136,29,Sudan,8,29,1,1,1,1,55,0
Lesotho,1,1,2,1,Fallen One II,232,215,136,211,0,1,0,228
Kazakhstan,4,41,1,1,Wallis and Futuna,1,1,2,1,1,1,42,0
French Polynesia,1,1,2,1,Blue Beetle III,185,80,67,147,0,1,0,74
Nightcrawler,31,17,199,119,Gravity,92,75,67,83,0,31,31,31
Turkey,16,13,2,1,Venom,194,141,210,165,0,1,0,123
Jean Grey,45,202,173,52,Liechtenstein,1,1,4,2,1,1,214,0
Mister Mxyzptlk,232,215,120,255,Molten Man,194,184,136,57,1,3,221,128
Jolt,73,22,99,68,British Indian Ocean Territory,1,1,2,3,1,1,20,0
Tuvalu,1,1,7,5,Seychelles,1,1,4,1,1,1,1,0
Juggernaut,232,255,173,106,Isis,106,117,136,191,1,1,116,1
Elongated Man,208,17,94,83,Blade,115,64,226,96,1,115,115,115
Lightning Lad,64,17,99,57,Kingpin,92,38,173,63,0,64,63,64
Dr Manhattan,232,255,99,106,Frenzy,232,131,125,88,1,2,289,33
Mozambique,5,13,1,1,Dragonair,55,157,88,104,0,1,0,147
Hybrid,173,157,199,147,Firebird,31,12,99,101,1,1,52,0
Mew,96,188,139,161,Rocket Raccoon,64,4,157,57,1,3,85,2
Swaziland,1,1,2,1,Solomon Islands,1,1,1,1,0,1,0,1
Monica Dawson,31,17,226,88,Harley Quinn,150,22,199,83,0,31,31,31
Nightcrawler,31,17,199,119,Kabuto,22,149,124,76,1,22,22,21
Flareon,59,247,81,95,Invisible Woman,197,17,136,68,1,2,198,1
Tanzania,9,15,2,1,Feral,64,64,173,114,0,1,0,68
King Shark,208,223,94,127,Siren,138,154,147,201,1,2,147,118
Shatterstar,148,117,210,114,Rhydon,102,247,168,48,0,4,4,155
Boba Fett,83,17,173,96,Thunderstrike,194,202,178,178,0,4,3,103
Monaco,1,1,255,58,Fin Fang Foom,232,205,173,57,0,1,1,1
Mister Fantastic,162,17,157,45,Honduras,3,3,2,1,1,1,14,0
Killer Frost,80,17,67,32,Malta,1,1,20,1,1,1,1,0
Wonder Girl,185,229,147,63,Onslaught,232,255,133,83,0,2,95,213
X-23,232,54,239,106,Bullseye,162,20,173,63,1,162,162,161
Century,148,202,252,134,Shadowcat,57,12,173,52,1,3,83,2
Micro Lad,64,64,72,68,Static,115,12,94,106,0,64,63,64
Gladiator,232,255,173,255,Cheetah,45,12,173,106,1,1,74,0
Jar Jar Binks,22,6,27,83,Northern Mariana Islands,1,1,3,1,1,1,3,0
Spider-Man,173,136,213,170,Venom III,208,184,136,88,0,173,173,173
Red Hood,64,22,239,57,Man-Bat,162,38,67,127,0,64,63,64
Killer Frost,80,17,67,32,Bling!,208,27,62,29,0,80,80,80
Ghost Rider,232,136,147,63,Quicksilver,138,64,136,255,1,138,138,138
Laos,2,5,1,1,James T. Kirk,69,20,186,42,0,1,0,21
Darth Vader,80,117,252,83,Box IV,64,189,136,57,1,64,64,63
Stormtrooper,34,12,41,19,Junkpile,208,91,67,42,0,1,0,43
Deathstroke,232,70,226,88,Greedo,34,17,94,32,1,34,34,33
Clock King,22,17,94,42,Weezing,59,168,168,86,0,1,0,76
Hawkeye,22,22,199,52,Lightning Lord,97,17,99,57,0,22,21,22
Man-Wolf,97,107,173,88,Vegeta,220,255,252,234,0,2,1,145
Sunspot,57,157,173,88,Equatorial Guinea,1,1,2,1,1,1,166,0
Guatemala,4,3,3,1,Forge,64,17,115,29,0,1,0,13
Meltdown,97,17,157,29,Hydro-Man,185,25,120,63,0,97,96,97
Turkmenistan,2,8,1,1,T-800,138,80,160,42,0,1,0,89
Michelangelo,150,27,186,127,Faora,232,242,226,191,0,3,2,160
Giganta,197,226,99,57,Synch,64,168,136,57,1,1,96,0
Spider-Man,173,136,213,170,Domino,64,17,184,68,1,64,64,63
El Salvador,2,1,5,1,Morlun,97,149,136,88,0,1,0,123
Kang,162,117,173,147,Red Hulk,197,255,186,119,0,3,3,228
Boom-Boom,97,17,157,29,Sentry,194,255,94,255,0,1,0,109
Niki Sanders,64,128,136,88,Citizen Steel,232,242,147,83,0,1,1,95
Guadeloupe,1,1,5,1,Supergirl,232,255,186,255,0,1,0,268
Somalia,3,10,1,1,Ethan Hunt,69,20,239,73,0,1,0,19
Northstar,129,38,173,211,Iron Fist,115,136,252,83,1,115,115,114
Heard Island and McDonald Islands,1,1,1,1,Mystique,148,22,184,57,0,1,0,20
Black Lightning,64,20,186,134,Rwanda,3,1,7,1,1,1,14,0
Impulse,138,17,147,255,Q,232,22,94,42,0,138,138,138
Kabutops,54,218,146,123,Greedo,34,17,94,32,1,1,142,0
Falcon,64,25,157,127,Fin Fang Foom,232,205,173,57,0,2,2,93
Singapore,2,1,103,1,Red Robin,73,20,199,68,0,2,1,2
Shadowcat,57,12,173,52,Tonga,1,1,3,1,1,1,10,0
Northern Mariana Islands,1,1,3,1,Impulse,138,17,147,255,0,1,0,13
Starfire,197,202,173,83,Koffing,33,119,132,39,1,1,80,0
Vaporeon,128,119,81,95,Sandman,208,189,147,116,0,2,1,217
Mister Zsasz,64,49,213,83,Captain Atom,208,236,199,211,0,4,3,83
Bushido,22,17,173,19,Cubone,43,90,132,39,0,22,21,22
Magneto,194,202,199,68,Guam,1,1,5,1,1,1,190,0
Groot,162,215,157,83,Yemen,5,9,2,1,1,1,205,0
Moon Knight,97,86,186,57,Legion,69,255,186,106,0,2,1,135
Rwanda,3,1,7,1,U.S. Virgin Islands,1,1,6,1,1,1,1,0
Elongated Man,208,17,94,83,Misfit,185,75,99,57,1,185,185,184
Luna,31,6,25,211,Captain Hindsight,69,17,41,211,0,31,30,31
Ukraine,10,10,2,1,Montserrat,1,1,2,2,1,1,7,1
Wyatt Wingfoot,1,17,136,29,Kraven the Hunter,97,75,213,88,0,1,0,1
Thundra,148,205,131,81,Qatar,1,1,2,1,1,1,230,0
Black Cat,22,33,173,83,Porygon,59,109,95,48,0,22,22,22
Blizzard II,97,17,136,68,Chuck Norris,129,202,250,119,0,2,1,131
Psylocke,92,78,226,63,Darkman,197,27,62,57,1,12,197,11
Heat Wave,104,17,67,42,Norfolk Island,1,1,2,4,1,1,17,0
Black Manta,138,64,213,127,Magneto,194,202,199,68,0,138,138,138
Articuno,86,159,139,133,Faora,232,242,226,191,0,1,0,107
Luna,31,6,25,211,Deadman,232,17,99,83,0,31,31,31
Madagascar,5,10,2,1,Deadpool,232,75,252,127,0,1,0,64
Kathryn Janeway,57,12,120,52,South Korea,10,2,8,1,1,3,12,2
White Canary,34,9,226,83,Power Girl,232,255,186,255,0,2,1,65
Shang-Chi,115,22,252,75,Gog,166,80,136,119,0,115,114,115
Spider-Man,173,136,213,170,Jynx,59,90,45,152,1,1,96,0
Vatican City,1,1,32,255,Horsea,22,70,95,86,0,1,1,40
Sint Maarten,1,1,28,6,Donatello,138,27,186,116,0,1,0,1
Oman,2,4,1,1,Nepal,7,3,4,1,0,1,0,2
Plantman,127,149,54,63,Saudi Arabia,6,30,1,1,1,1,152,0
Zapdos,86,168,117,161,James T. Kirk,69,20,186,42,1,69,69,68
Phoenix,232,255,199,211,Enchantress,138,27,94,63,1,1,151,0
Haiti,3,1,6,1,Cameron Hicks,64,17,173,57,0,1,0,10
Red Tornado,138,91,94,170,Bishop,173,27,160,57,0,138,138,138
Cyborg Superman,232,236,199,234,Omanyte,27,70,139,39,1,1,101,0
Seychelles,1,1,4,1,Osiris,220,215,99,152,0,1,0,238
Kid Flash,97,1,67,234,Northern Mariana Islands,1,1,3,1,1,1,1,0
Vatican City,1,1,32,255,Moonstone,120,168,199,119,0,1,1,144
Lex Luthor,150,131,173,63,Pitcairn Islands,1,1,1,3,1,1,140,0
